Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
01-06-2022 07:24,162.36,93.11,5.44,59.47,4.35,3654.09,27.65,82.81,48.54,899.94,44,81.13,205.64,92.86,952.36,50.69,139.21,900.34,326.28,96.76,19.8,87.8,133.4,212.8,14.36,750,14.4
01-06-2022 08:29,162.45,91.69,5.58,61,4.18,3706.16,28.56,91.02,42.81,899.94,43.85,82.72,209.97,144.69,952.29,49.95,137.4,900.31,326.83,96.75,19.9,88.3,132.8,212.5,14.26,750,15.2
01-06-2022 09:28,162.15,87.34,5.91,64.63,4.27,3730.61,30.37,88.79,42.27,899.94,42.91,80.99,175.34,131.97,957.57,34.21,130.01,900.3,329.04,96.78,21.6,86.4,133.5,212.8,15.1,750,16.6
01-06-2022 10:22,162.9,89.48,5.76,63,4.67,3658.4,29.63,88.19,45.7,899.94,46.74,82.97,199.47,74.72,906.32,34.04,132.91,905.32,339.29,96.76,19.6,87.5,132.5,211.3,14.25,750,17.2
01-06-2022 11:33,167.23,96.08,5.58,61,4.57,3695.86,29.34,94.95,40.22,899.94,45.46,79.01,193.48,84.32,937.14,32.23,135.18,905.26,334.76,96.81,20.3,82.1,132.9,213.4,14.1,750,15.2
01-06-2022 12:26,167.73,98.81,5.37,58.71,4.84,3677.87,30.21,96.64,41.22,899.94,46.68,80.33,203.78,54.63,982.64,32.19,127.49,930.24,336.27,96.97,20.6,87.8,133.6,212.7,14.8,750,15.4
01-06-2022 14:35,167.4,99.08,5.36,58.59,4.37,3654.44,27.77,86.09,45.4,899.94,43.83,77.88,173.22,44.17,907.42,29.28,128.61,900.26,329.28,96.66,19.8,85.9,133.5,211.8,14.5,750,15.8
01-06-2022 15:24,147.24,86.26,4.71,51.53,4.73,3621.93,27.64,90.78,42.78,899.94,43.4,80.83,159.45,68.36,962.79,41.79,135.45,890.34,315.07,97.61,20.3,86.9,132.3,211.4,14.55,750,17.4
01-06-2022 16:38,162.26,95.71,5.19,56.79,4.57,3687.97,28.25,89.59,43.97,899.94,45.79,82.29,168.36,105.82,952.13,57.31,142.81,895.28,323.92,96.77,20.6,89.8,135.2,211.3,14.2,750,15.8
01-06-2022 17:27,157.61,93.07,5.04,55.17,4.34,3700.67,28.96,91.55,38.3,920.02,46.87,89.37,172.28,84.6,962.42,50.14,138.44,890.28,318.42,96.76,23.4,85.3,134.5,211.3,14.9,750,12.8
01-06-2022 18:24,162.42,95.95,5.2,56.85,4.42,3674.82,30.35,94.41,44.89,920.02,47.4,84.42,169.31,92.61,962.39,52.17,141.41,890.29,317.35,96.37,23.5,88.1,133.5,212.3,14.3,750,13.8
01-06-2022 19:20,162.89,89.76,5.74,62.83,4.55,3696.45,29.43,93.43,41.98,899.94,45.4,78.81,199.88,84.74,937.13,31.65,135.66,905.27,335.85,97,18.6,83.9,132.5,212.5,14.6,750,15.5
01-06-2022 20:36,157.75,87.38,5.57,60.94,3.87,3694.49,30.09,96.91,40.49,899.94,46.7,80.33,205.81,66.26,967.65,32.17,129.4,930.22,336.45,96.94,20.4,87.5,134.3,212.6,14.5,750,15.2
01-06-2022 22:35,157.55,84.94,5.73,62.71,4.17,3655.38,27.81,82.76,47.13,899.94,43.73,78.23,165.86,57.41,907.3,36.11,129.37,900.25,332.79,96.5,21.6,83.9,133.6,212.3,14.25,750,15.2
01-06-2022 23:33,157.24,88.06,5.43,59.4,4.36,3608.9,34.23,93.98,49.16,899.94,42.61,85.27,177.82,132.84,957.92,64.95,153.44,900.45,316.73,96.7,19.2,85.5,132.7,211.4,14.23,750,13.8
02-06-2022 00:37,160.98,99.48,5.15,52.32,4.02,3616.95,28.97,88.08,47.68,909.98,45.56,75.75,209.01,127.01,896.28,63.95,153.37,925.51,346.4,94.47,22.2,85.6,135.8,212.3,14.36,750,15.8
02-06-2022 01:28,165.72,102.42,5.3,53.86,4.14,3558.19,28.57,92.9,49.14,909.98,45.52,78.37,195.19,113.31,892.96,36.49,155.07,910.42,334.03,96.51,19.9,83.9,133.6,212.3,15.1,750,17.4
02-06-2022 02:35,171.2,105.8,5.48,55.64,4.28,3588.45,28.21,100.36,48.05,909.98,46.44,80.2,200.6,109.16,881.43,39.28,156.66,905.43,322.33,96.45,20.5,85.4,132.8,212.5,14.25,750,15.8
02-06-2022 03:29,166.22,102.72,5.32,54.02,4.16,3576.52,28.89,97.5,44.82,909.98,45.4,76.2,173.57,124.88,881.69,40.21,153.18,905.5,324.56,96.67,22.5,87.5,135.2,211.3,15.12,750,12.8
02-06-2022 04:34,166.34,102.8,5.32,54.06,4.16,3590.03,29.89,80,50.34,899.94,44.15,77.75,188.47,36.62,962.44,27.38,126.01,905.26,314.57,96.76,20.4,88,134.3,211.6,14.26,750,13.8
02-06-2022 06:21,171.03,105.69,5.47,55.58,4.28,3707.47,29.02,90.57,42.52,899.94,43.79,78.81,199.12,61.41,962.65,34.95,130.99,900.25,329.96,96.44,19.9,86.9,133.9,212.3,14.33,750,14.3
02-06-2022 07:29,165.89,102.52,5.31,53.91,4.15,3640.07,28.44,92.25,47.27,899.94,43.74,80.54,201.81,46.15,962.7,32.25,130.31,900.27,329.62,96.91,20.3,86.5,135.8,211.3,14.88,750,15.7
02-06-2022 08:26,165.44,102.24,5.29,53.77,4.14,3636.94,27.81,87.87,50.78,899.94,44.3,77.7,198.04,83.41,962.54,46.95,137.52,900.33,327.73,97.19,23.9,85.3,134.2,212.8,14.9,750,15.5
02-06-2022 09:30,166.19,102.71,5.32,54.01,4.15,3624.03,27.63,82.35,54.76,899.94,44.3,81.6,207.93,81.48,962.56,46.46,136.86,900.33,327.69,96.88,22.9,85.63,133.6,211.9,14.9,750,13.3
02-06-2022 10:35,165.28,102.14,5.29,53.71,4.13,3710.48,28.01,85.47,44.27,899.94,43.97,80.19,207.83,107.17,952.3,54.39,142.63,900.35,326.84,97.01,20.2,85.6,135.3,212.6,14.6,750,14.5
02-06-2022 11:25,167.86,103.74,5.37,54.55,4.2,3685.35,28.91,90.96,45.49,899.94,44.05,85.15,209.32,86.26,952.43,48.56,138.15,900.31,327.58,97.12,23.6,83.5,132.6,212.6,14.9,750,12.8
02-06-2022 12:34,166.28,102.76,5.32,54.04,4.16,3653.52,30.37,89.56,49.15,899.94,43.94,80.08,207.36,79.82,962.2,45.74,137.43,900.31,315.71,96.66,21.5,90,132.5,212.8,13.99,750,13.6
